datetime,month,day,hour,LocationID,pickups,year,week,dayofweek,isweekend,isholiday,Temperature
2017-01-01 10:00:00,1,1,10,13,100.0,2017,52,6,1,0,45
2017-01-01 10:00:00,1,1,10,24,39.0,2017,52,6,1,0,45
2017-01-01 10:00:00,1,1,10,41,79.0,2017,52,6,1,0,45
2017-01-01 10:00:00,1,1,10,42,37.0,2017,52,6,1,0,45
2017-01-01 10:00:00,1,1,10,43,99.0,2017,52,6,1,0,45
2017-01-01 11:00:00,1,1,11,4,38.0,2017,52,6,1,0,46
2017-01-01 11:00:00,1,1,11,12,4.0,2017,52,6,1,0,46
2017-01-01 11:00:00,1,1,11,13,107.0,2017,52,6,1,0,46
2017-01-01 11:00:00,1,1,11,24,56.0,2017,52,6,1,0,46
2017-01-01 11:00:00,1,1,11,41,73.0,2017,52,6,1,0,46
2017-01-01 11:00:00,1,1,11,42,47.0,2017,52,6,1,0,46
2017-01-01 11:00:00,1,1,11,43,140.0,2017,52,6,1,0,46
2017-01-01 12:00:00,1,1,12,4,30.0,2017,52,6,1,0,47
2017-01-01 12:00:00,1,1,12,12,23.0,2017,52,6,1,0,47
2017-01-01 12:00:00,1,1,12,13,153.0,2017,52,6,1,0,47
2017-01-01 12:00:00,1,1,12,24,46.0,2017,52,6,1,0,47
2017-01-01 12:00:00,1,1,12,41,71.0,2017,52,6,1,0,47
2017-01-01 12:00:00,1,1,12,42,42.0,2017,52,6,1,0,47
2017-01-01 12:00:00,1,1,12,43,199.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,4,43.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,12,27.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,13,154.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,24,38.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,41,60.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,42,35.0,2017,52,6,1,0,47
2017-01-01 13:00:00,1,1,13,43,253.0,2017,52,6,1,0,47
2017-01-01 14:00:00,1,1,14,4,38.0,2017,52,6,1,0,47
2017-01-01 14:00:00,1,1,14,12,25.0,2017,52,6,1,0,47
2017-01-01 14:00:00,1,1,14,13,188.0,2017,52,6,1,0,47
2017-01-01 14:00:00,1,1,14,24,36.0,2017,52,6,1,0,47
