datetime,month,day,hour,LocationID,sales,year,week,dayofweek,isweekend,isholiday,Temperature
01-01-2019 11:00,1,1,11,41,27,2019,1,1,0,0,56
01-01-2019 11:00,1,1,11,42,14,2019,1,1,0,0,56
01-01-2019 11:00,1,1,11,43,126,2019,1,1,0,0,56
01-01-2019 12:00,1,1,12,4,9,2019,1,1,0,0,55
01-01-2019 12:00,1,1,12,12,10,2019,1,1,0,0,55
01-01-2019 12:00,1,1,12,13,115,2019,1,1,0,0,55
01-01-2019 12:00,1,1,12,24,25,2019,1,1,0,0,55
01-01-2019 12:00,1,1,12,41,39,2019,1,1,0,0,55
01-01-2019 12:00,1,1,12,42,16,2019,1,1,0,0,55
01-01-2019 12:00,1,1,12,43,170,2019,1,1,0,0,55
01-01-2019 13:00,1,1,13,4,11,2019,1,1,0,0,51
01-01-2019 13:00,1,1,13,12,29,2019,1,1,0,0,51
01-01-2019 13:00,1,1,13,13,108,2019,1,1,0,0,51
01-01-2019 13:00,1,1,13,24,28,2019,1,1,0,0,51
01-01-2019 13:00,1,1,13,41,28,2019,1,1,0,0,51
01-01-2019 13:00,1,1,13,42,23,2019,1,1,0,0,51
01-01-2019 13:00,1,1,13,43,250,2019,1,1,0,0,51
01-01-2019 14:00,1,1,14,4,10,2019,1,1,0,0,49
01-01-2019 14:00,1,1,14,12,24,2019,1,1,0,0,49
01-01-2019 14:00,1,1,14,13,128,2019,1,1,0,0,49
01-01-2019 14:00,1,1,14,24,32,2019,1,1,0,0,49
01-01-2019 14:00,1,1,14,41,39,2019,1,1,0,0,49
01-01-2019 14:00,1,1,14,42,18,2019,1,1,0,0,49
01-01-2019 14:00,1,1,14,43,293,2019,1,1,0,0,49
01-01-2019 15:00,1,1,15,4,6,2019,1,1,0,0,47
01-01-2019 15:00,1,1,15,12,24,2019,1,1,0,0,47
01-01-2019 15:00,1,1,15,13,114,2019,1,1,0,0,47
01-01-2019 15:00,1,1,15,24,45,2019,1,1,0,0,47
01-01-2019 15:00,1,1,15,41,39,2019,1,1,0,0,47
01-01-2019 15:00,1,1,15,42,12,2019,1,1,0,0,47
01-01-2019 15:00,1,1,15,43,276,2019,1,1,0,0,47
01-01-2019 16:00,1,1,16,4,7,2019,1,1,0,0,45
01-01-2019 16:00,1,1,16,12,19,2019,1,1,0,0,45
01-01-2019 16:00,1,1,16,13,104,2019,1,1,0,0,45
01-01-2019 16:00,1,1,16,24,26,2019,1,1,0,0,45
01-01-2019 16:00,1,1,16,41,48,2019,1,1,0,0,45
01-01-2019 16:00,1,1,16,42,18,2019,1,1,0,0,45
01-01-2019 16:00,1,1,16,43,257,2019,1,1,0,0,45
01-01-2019 17:00,1,1,17,4,11,2019,1,1,0,0,44
01-01-2019 17:00,1,1,17,12,6,2019,1,1,0,0,44
01-01-2019 17:00,1,1,17,13,102,2019,1,1,0,0,44
01-01-2019 17:00,1,1,17,24,31,2019,1,1,0,0,44
01-01-2019 17:00,1,1,17,41,47,2019,1,1,0,0,44
01-01-2019 17:00,1,1,17,42,19,2019,1,1,0,0,44
01-01-2019 17:00,1,1,17,43,176,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,4,7,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,12,3,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,13,87,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,24,35,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,41,40,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,42,22,2019,1,1,0,0,44
01-01-2019 18:00,1,1,18,43,136,2019,1,1,0,0,44
01-01-2019 19:00,1,1,19,4,11,2019,1,1,0,0,43
